accel_x, accel_y, accel_z, gyros_x, gyros_y, gyros_z
0.652, 0.588, 0.029, -35.522, 20.996, -6.409
0.710, 0.654, 0.015, 1.404, -3.906, -3.174
0.713, 0.654, 0.051, -16.113, 0.793, 9.888
0.706, 0.651, 0.010, 2.075, 0.671, -0.610
0.712, 0.651, 0.021, -1.465, 1.160, -3.296
0.714, 0.641, 0.019, -2.686, -0.732, -1.160
0.713, 0.640, 0.020, -2.014, 0.183, -0.732
0.718, 0.645, 0.017, -5.127, -0.122, 1.404
0.713, 0.650, 0.026, -0.366, 0.305, -0.793
0.726, 0.641, 0.022, 0.916, 2.258, -2.686
0.676, 0.644, -0.023, -6.470, 12.085, -2.747
0.754, 0.596, -0.022, -1.526, 5.188, -9.521
0.768, 0.584, -0.083, -6.287, 16.296, -1.770
0.763, 0.580, -0.118, -1.709, 2.808, 0.000
0.773, 0.581, -0.119, -0.061, 2.625, -0.488
0.788, 0.574, -0.118, -7.263, 3.479, -0.671
0.766, 0.580, -0.132, -0.244, -0.244, -0.916
0.768, 0.571, -0.140, -0.793, 0.671, -0.977
0.762, 0.562, -0.128, -0.061, 0.061, -0.488
0.774, 0.573, -0.130, -1.099, 0.427, -0.366
0.770, 0.570, -0.127, -0.793, -0.122, -0.549
0.766, 0.574, -0.136, -1.770, 0.122, -0.366
0.770, 0.574, -0.131, 0.244, -0.183, -0.793
0.765, 0.571, -0.144, -1.892, -0.488, -0.610
0.748, 0.565, -0.108, -0.671, -0.977, 0.366
0.765, 0.574, -0.128, -1.343, 1.526, 0.061
0.767, 0.571, -0.131, -0.366, 1.160, -0.305
0.788, 0.571, -0.139, -3.113, 0.671, -1.099
0.758, 0.585, -0.125, 9.583, -2.747, -0.366
0.817, 0.589, -0.105, 1.038, -8.484, -0.732
0.771, 0.520, -0.067, -9.460, -2.136, -3.662
0.777, 0.471, -0.003, 12.329, -23.865, -4.700
0.801, 0.526, 0.051, -7.385, -4.211, 2.563
0.859, 0.505, 0.291, -25.146, 21.912, 5.371
0.810, 0.450, 0.209, -26.672, -12.146, 13.062
0.799, 0.519, 0.194, -2.136, -1.770, 6.470
0.780, 0.544, 0.183, -2.747, -2.258, -0.732
0.802, 0.526, 0.208, 1.160, -2.686, -2.075
0.778, 0.502, 0.246, 2.563, -4.822, -4.944
0.787, 0.459, 0.224, 10.925, 8.545, -28.381
0.823, 0.357, 0.198, 14.404, 24.780, -7.629
0.881, 0.334, 0.171, -13.306, 6.042, 3.235
0.881, 0.380, 0.236, -3.052, 12.512, 9.399
0.832, 0.441, 0.098, -36.194, 36.682, 15.564
0.832, 0.460, -0.231, -56.885, 41.382, 18.860
0.990, 0.638, -0.679, -14.648, 24.597, 9.583
0.717, 0.450, -0.458, 4.639, -22.888, -4.639
0.765, 0.483, -0.328, 5.432, -33.203, -26.794
0.788, 0.289, -0.186, 32.532, -29.846, -6.470
0.850, 0.399, 0.003, 0.610, -20.142, -35.461
0.805, 0.044, 0.052, 38.635, -5.615, -31.311
0.961, -0.123, 0.083, 3.235, -7.751, -53.162
1.015, 0.025, 0.136, -15.503, 5.127, 10.193
1.048, 0.024, 0.079, -25.818, 19.653, 12.451
0.964, 0.031, 0.065, -16.113, -1.038, 8.179
0.959, 0.083, 0.019, -4.456, 21.973, 7.324
0.972, 0.095, 0.000, 0.366, 1.160, 5.432
0.968, 0.117, -0.039, -0.916, 4.761, -1.953
0.967, 0.102, -0.076, -0.244, 8.362, -2.258
0.970, 0.088, -0.073, 1.953, 1.770, -3.845
0.966, 0.058, -0.100, 1.709, 1.587, -4.150
0.972, 0.055, -0.092, -8.362, 1.648, -5.066
0.969, 0.023, -0.105, -8.667, 4.761, -6.042
0.951, -0.004, -0.132, -11.475, 13.428, -0.671
0.969, -0.018, -0.230, -16.541, 22.766, 4.272
0.939, -0.055, -0.316, -44.800, 11.597, 0.122
0.946, -0.079, -0.309, -40.527, -3.784, 3.967
0.951, -0.054, -0.249, -18.494, 0.488, 1.892
0.955, -0.063, -0.342, 1.648, 16.541, 6.104
